Kota Jakarta Barat (baris 731, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 732, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 734, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 735, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Pusat (baris 737, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 739, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Barat (baris 741, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 742, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Selatan (baris 743, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Timur (baris 746, provinsi: Daerah Khusus Ibukota Jakarta)
Kota Jakarta Barat (baris 747, provinsi: Daerah Khusus Ibukota Jakarta)
KEDIRI (KAB) (baris 909, provinsi: Jawa Timur)
Kuala Kapuas (baris 1150, provinsi: Kalimantan Tengah)
Kab. Malinau (baris 1338, provinsi: Kalimantan Timur)
MALINAU (baris 1357, provinsi: Kalimantan Timur)
Tanjung Selor (baris 1375, provinsi: Kalimantan Utara)
Bandar Lampung (baris 1439, provinsi: )
Kab. Maluku Tenggara Barat (baris 1897, provinsi: Maluku)
Seram Bagian Timur/ Bula (baris 1902, provinsi: Maluku)
Kab. Maluku Tenggara Barat (baris 1932, provinsi: Maluku)
Kab. Maluku Tenggara Barat (baris 1952, provinsi: Maluku)
Kabupaten. Kupang (baris 2146, provinsi: Nusa Tenggara Timur)
TTS (baris 2197, provinsi: Nusa Tenggara Timur)
Rote Ndao / Ba'a (baris 2382, provinsi: Nusa Tenggara Timur)
SIKKA / MAUMERE (baris 2434, provinsi: Nusa Tenggara Timur)
Kab. Asmat (baris 2455, provinsi: Papua)
Yahukimo (baris 2469, provinsi: Papua)
Kab. Jayawijaya (baris 2470, provinsi: Papua)
Paniai (baris 2471, provinsi: Papua)
Kab. Nabire (baris 2473, provinsi: Papua)
JAYAWIJAYA (baris 2474, provinsi: Papua)
Mimika (baris 2475, provinsi: Papua)
JAYAWIJAYA (baris 2477, provinsi: Papua)
JAYAWIJAYA (baris 2479, provinsi: Papua)
MIMIKA (baris 2481, provinsi: Papua)
Yahukimo (baris 2485, provinsi: Papua)
Kab. Nabire (baris 2487, provinsi: Papua)
Asmat (baris 2488, provinsi: Papua)
Biak (baris 2489, provinsi: Papua)
Kab. Jayawijaya (baris 2492, provinsi: Papua)
JAYAWIJAYA (baris 2495, provinsi: Papua)
NABIRE (baris 2499, provinsi: Papua)
Jayawijaya (baris 2503, provinsi: Papua)
Yahukimo (baris 2504, provinsi: Papua)
Pegunungan Bintang (baris 2505, provinsi: Papua)
Nabire (baris 2507, provinsi: Papua)
JAYAWIJAYA (baris 2508, provinsi: Papua)
Merauke (baris 2509, provinsi: Papua)
Pegunungan Bintang (baris 2510, provinsi: Papua)
Jayawijaya (baris 2511, provinsi: Papua)
Puncak Jaya (baris 2512, provinsi: Papua)
Boven Digoel (baris 2514, provinsi: Papua)
Asmat (baris 2515, provinsi: Papua)
MIMIKA (baris 2518, provinsi: Papua)
Tolikara (baris 2520, provinsi: Papua)
LANNY JAYA (baris 2522, provinsi: Papua)
Kab. Mimika (baris 2526, provinsi: Papua)
Kab. Merauke (baris 2538, provinsi: Papua)
Pegunungan Bintang (baris 2552, provinsi: Papua)
MIMIKA (baris 2555, provinsi: Papua)
Kab. Merauke (baris 2573, provinsi: Papua)
Kab. Timika (baris 2574, provinsi: Papua)
MIMIKA (baris 2577, provinsi: Papua)
Kab. Merauke (baris 2581, provinsi: Papua)
MIMIKA (baris 2584, provinsi: Papua)
Kab. Merauke (baris 2587, provinsi: Papua)
Merauke (baris 2602, provinsi: Papua)
